<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
12/05/22;00:00;12.0000000;12.0500000;10.2400000;10.2500000;41
13/05/22;00:00;10.4500000;10.8900000;10.4500000;10.8900000;3
16/05/22;00:00;10.2700000;10.2800000;10.1600000;10.2700000;6
17/05/22;00:00;10.8500000;10.8500000;10.8500000;10.8500000;1
18/05/22;00:00;10.2500000;10.3100000;10.2400000;10.3100000;3
19/05/22;00:00;9.9000000;9.9100000;9.9000000;9.9000000;12
20/05/22;00:00;10.3400000;11.0500000;9.6500000;9.8500000;84
23/05/22;00:00;9.9200000;9.9200000;9.7000000;9.7100000;54
24/05/22;00:00;9.7000000;9.7000000;9.5100000;9.5100000;37
25/05/22;00:00;9.5000000;9.9500000;9.4100000;9.9500000;155
26/05/22;00:00;9.2000000;10.7000000;9.2000000;10.6900000;60
27/05/22;00:00;10.6100000;10.9100000;10.5700000;10.7100000;98
30/05/22;00:00;10.9000000;11.1900000;10.2200000;10.3200000;261
31/05/22;00:00;10.2100000;10.4100000;10.1800000;10.2500000;82
01/06/22;00:00;10.1300000;10.3000000;10.0900000;10.0900000;51
02/06/22;00:00;10.0900000;10.2200000;10.0500000;10.1000000;49
03/06/22;00:00;10.2400000;10.2400000;10.0600000;10.1100000;44
06/06/22;00:00;9.9500000;10.1200000;9.8600000;9.9900000;355
07/06/22;00:00;9.9100000;10.0700000;9.9100000;10.0000000;175
08/06/22;00:00;9.9900000;10.0300000;9.8300000;9.9400000;380
09/06/22;00:00;9.8200000;10.0000000;9.5500000;9.8100000;1031
10/06/22;00:00;9.7500000;9.8400000;9.2900000;9.4400000;1440
14/06/22;00:00;9.4400000;9.6300000;9.0600000;9.1600000;4279
15/06/22;00:00;9.3300000;9.3400000;9.0900000;9.1800000;1844
16/06/22;00:00;9.1800000;9.3000000;9.0000000;9.1100000;9255
17/06/22;00:00;9.1600000;9.1600000;8.8300000;8.9700000;17909
20/06/22;00:00;9.0000000;9.0700000;8.7700000;8.8600000;10640
21/06/22;00:00;8.8000000;8.8200000;8.4000000;8.5300000;45654
22/06/22;00:00;8.4800000;8.6000000;8.2300000;8.4300000;29654
23/06/22;00:00;8.3000000;8.5000000;8.2800000;8.3900000;25294
24/06/22;00:00;8.4200000;8.8300000;8.3500000;8.5200000;28360
27/06/22;00:00;8.5700000;8.6600000;8.2900000;8.3600000;22524
28/06/22;00:00;8.3600000;8.4200000;7.9900000;8.0400000;44240
29/06/22;00:00;7.9600000;8.5000000;7.7800000;8.4300000;70071
30/06/22;00:00;8.6900000;8.7400000;8.2600000;8.4200000;71871
01/07/22;00:00;8.4000000;9.2200000;8.1100000;9.0300000;96440
04/07/22;00:00;9.1300000;9.2300000;8.7700000;8.9100000;60467
05/07/22;00:00;8.9000000;9.6600000;8.8500000;9.6300000;95988
06/07/22;00:00;9.6300000;9.9800000;9.5600000;9.9200000;64595
07/07/22;00:00;9.9700000;10.1000000;9.5600000;9.7000000;38134
08/07/22;00:00;9.7100000;9.7700000;9.4100000;9.5300000;33737
11/07/22;00:00;9.5000000;9.6000000;9.1000000;9.1300000;74507
12/07/22;00:00;9.0700000;9.1900000;8.7800000;9.0900000;85481
13/07/22;00:00;9.1000000;9.1600000;8.9000000;8.9300000;67474
14/07/22;00:00;8.9200000;8.9900000;8.8100000;8.9400000;60757
15/07/22;00:00;8.9500000;9.0200000;8.6500000;8.7800000;96539
18/07/22;00:00;8.8000000;8.8000000;8.6000000;8.6600000;69558
19/07/22;00:00;8.6400000;8.6700000;8.4000000;8.4600000;129769
20/07/22;00:00;8.4400000;8.4900000;8.3100000;8.3900000;80911
21/07/22;00:00;8.3700000;8.9100000;8.3100000;8.7400000;236116
22/07/22;00:00;8.7600000;8.9900000;8.6800000;8.7800000;285419
25/07/22;00:00;8.7900000;8.9300000;8.7600000;8.9300000;129206
26/07/22;00:00;8.9300000;9.5200000;8.9100000;9.4800000;288107
27/07/22;00:00;9.4700000;9.4800000;9.0700000;9.1600000;274716
28/07/22;00:00;9.1700000;9.3700000;9.1000000;9.3300000;172815
29/07/22;00:00;9.3300000;9.5600000;9.2700000;9.5200000;227634
