<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
12/05/22;11:00;12.0000000;12.0000000;12.0000000;12.0000000;2
12/05/22;12:00;11.8800000;12.0500000;11.8800000;12.0500000;19
12/05/22;13:00;10.2900000;10.2900000;10.2400000;10.2400000;19
12/05/22;16:00;10.2500000;10.2500000;10.2500000;10.2500000;1
13/05/22;16:00;10.4500000;10.8900000;10.4500000;10.8900000;3
16/05/22;14:00;10.2700000;10.2700000;10.2700000;10.2700000;1
16/05/22;15:00;10.2800000;10.2800000;10.2800000;10.2800000;1
16/05/22;16:00;10.1600000;10.1600000;10.1600000;10.1600000;2
16/05/22;17:00;10.1600000;10.1600000;10.1600000;10.1600000;1
16/05/22;18:00;10.2700000;10.2700000;10.2700000;10.2700000;1
17/05/22;16:00;10.8500000;10.8500000;10.8500000;10.8500000;1
18/05/22;12:00;10.2500000;10.2500000;10.2400000;10.2400000;2
18/05/22;16:00;10.3100000;10.3100000;10.3100000;10.3100000;1
19/05/22;11:00;9.9000000;9.9000000;9.9000000;9.9000000;8
19/05/22;12:00;9.9000000;9.9000000;9.9000000;9.9000000;2
19/05/22;19:00;9.9100000;9.9100000;9.9000000;9.9000000;2
20/05/22;11:00;10.3400000;10.3400000;10.3400000;10.3400000;1
20/05/22;12:00;9.9000000;11.0500000;9.9000000;9.9000000;18
20/05/22;13:00;9.9200000;10.1500000;9.6500000;10.1500000;62
20/05/22;16:00;9.9800000;9.9800000;9.9800000;9.9800000;2
20/05/22;19:00;9.8500000;9.8500000;9.8500000;9.8500000;1
23/05/22;14:00;9.9200000;9.9200000;9.7900000;9.7900000;14
23/05/22;15:00;9.8000000;9.8000000;9.8000000;9.8000000;5
23/05/22;16:00;9.7100000;9.7500000;9.7000000;9.7500000;3
23/05/22;17:00;9.7500000;9.7500000;9.7000000;9.7000000;11
23/05/22;18:00;9.7000000;9.7000000;9.7000000;9.7000000;19
23/05/22;19:00;9.7100000;9.7100000;9.7100000;9.7100000;2
24/05/22;11:00;9.7000000;9.7000000;9.7000000;9.7000000;11
24/05/22;12:00;9.6900000;9.6900000;9.6600000;9.6600000;9
24/05/22;13:00;9.6000000;9.6000000;9.6000000;9.6000000;7
24/05/22;16:00;9.6500000;9.6500000;9.6500000;9.6500000;7
24/05/22;17:00;9.5300000;9.5300000;9.5100000;9.5100000;3
25/05/22;11:00;9.5000000;9.6800000;9.4500000;9.5000000;24
25/05/22;12:00;9.4500000;9.4500000;9.4500000;9.4500000;61
25/05/22;13:00;9.4500000;9.6900000;9.4100000;9.4100000;22
25/05/22;14:00;9.4500000;9.4500000;9.4500000;9.4500000;10
25/05/22;15:00;9.6700000;9.6800000;9.6700000;9.6800000;5
25/05/22;16:00;9.6800000;9.7000000;9.6400000;9.7000000;16
25/05/22;17:00;9.9100000;9.9100000;9.8100000;9.8100000;3
25/05/22;19:00;9.8900000;9.9500000;9.8900000;9.9500000;14
26/05/22;11:00;9.2000000;10.5000000;9.2000000;10.0600000;13
26/05/22;12:00;10.0500000;10.3200000;10.0500000;10.0500000;6
26/05/22;13:00;10.3000000;10.3100000;10.0600000;10.3100000;5
26/05/22;14:00;10.3100000;10.3100000;10.1700000;10.1700000;3
26/05/22;15:00;10.4700000;10.4700000;10.4600000;10.4600000;4
26/05/22;16:00;10.4500000;10.4600000;10.4500000;10.4600000;2
26/05/22;17:00;10.2600000;10.4600000;10.2600000;10.4600000;2
