<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
12/05/22;10:25;12.0000000;12.0000000;12.0000000;12.0000000;2
12/05/22;11:55;11.8800000;12.0500000;11.8800000;12.0500000;19
12/05/22;12:10;10.2900000;10.2900000;10.2400000;10.2400000;19
12/05/22;15:40;10.2500000;10.2500000;10.2500000;10.2500000;1
13/05/22;15:10;10.4500000;10.8900000;10.4500000;10.8900000;3
16/05/22;13:45;10.2700000;10.2700000;10.2700000;10.2700000;1
16/05/22;14:25;10.2800000;10.2800000;10.2800000;10.2800000;1
16/05/22;15:10;10.1600000;10.1600000;10.1600000;10.1600000;1
16/05/22;16:00;10.1600000;10.1600000;10.1600000;10.1600000;1
16/05/22;17:00;10.1600000;10.1600000;10.1600000;10.1600000;1
16/05/22;17:45;10.2700000;10.2700000;10.2700000;10.2700000;1
17/05/22;15:25;10.8500000;10.8500000;10.8500000;10.8500000;1
18/05/22;11:35;10.2500000;10.2500000;10.2500000;10.2500000;1
18/05/22;11:40;10.2400000;10.2400000;10.2400000;10.2400000;1
18/05/22;15:20;10.3100000;10.3100000;10.3100000;10.3100000;1
19/05/22;10:05;9.9000000;9.9000000;9.9000000;9.9000000;1
19/05/22;10:10;9.9000000;9.9000000;9.9000000;9.9000000;1
19/05/22;10:25;9.9000000;9.9000000;9.9000000;9.9000000;2
19/05/22;10:45;9.9000000;9.9000000;9.9000000;9.9000000;1
19/05/22;10:50;9.9000000;9.9000000;9.9000000;9.9000000;3
19/05/22;11:15;9.9000000;9.9000000;9.9000000;9.9000000;2
19/05/22;18:45;9.9100000;9.9100000;9.9000000;9.9000000;2
20/05/22;10:10;10.3400000;10.3400000;10.3400000;10.3400000;1
20/05/22;11:50;9.9000000;11.0500000;9.9000000;9.9100000;8
20/05/22;11:55;9.9000000;9.9000000;9.9000000;9.9000000;10
20/05/22;12:30;9.9200000;9.9200000;9.9200000;9.9200000;1
20/05/22;13:00;9.6500000;10.1500000;9.6500000;10.1500000;61
20/05/22;15:40;9.9800000;9.9800000;9.9800000;9.9800000;2
20/05/22;18:10;9.8500000;9.8500000;9.8500000;9.8500000;1
23/05/22;13:10;9.9200000;9.9200000;9.9200000;9.9200000;1
23/05/22;13:35;9.8100000;9.8100000;9.7900000;9.7900000;13
23/05/22;14:40;9.8000000;9.8000000;9.8000000;9.8000000;5
23/05/22;15:45;9.7100000;9.7100000;9.7000000;9.7000000;2
23/05/22;16:00;9.7500000;9.7500000;9.7500000;9.7500000;1
23/05/22;16:10;9.7500000;9.7500000;9.7500000;9.7500000;1
23/05/22;16:20;9.7400000;9.7400000;9.7400000;9.7400000;1
23/05/22;16:30;9.7200000;9.7200000;9.7200000;9.7200000;1
23/05/22;16:35;9.7200000;9.7200000;9.7200000;9.7200000;1
23/05/22;16:50;9.7100000;9.7100000;9.7100000;9.7100000;5
23/05/22;17:00;9.7000000;9.7000000;9.7000000;9.7000000;2
23/05/22;17:15;9.7000000;9.7000000;9.7000000;9.7000000;7
23/05/22;17:25;9.7000000;9.7000000;9.7000000;9.7000000;4
23/05/22;17:30;9.7000000;9.7000000;9.7000000;9.7000000;1
23/05/22;17:50;9.7000000;9.7000000;9.7000000;9.7000000;7
23/05/22;18:30;9.7100000;9.7100000;9.7100000;9.7100000;2
24/05/22;10:40;9.7000000;9.7000000;9.7000000;9.7000000;11
24/05/22;11:30;9.6900000;9.6900000;9.6600000;9.6600000;9
24/05/22;12:40;9.6000000;9.6000000;9.6000000;9.6000000;2
24/05/22;12:45;9.6000000;9.6000000;9.6000000;9.6000000;5
24/05/22;15:45;9.6500000;9.6500000;9.6500000;9.6500000;7
24/05/22;16:55;9.5300000;9.5300000;9.5100000;9.5100000;3
25/05/22;10:10;9.5000000;9.5000000;9.5000000;9.5000000;5
25/05/22;10:15;9.4500000;9.4500000;9.4500000;9.4500000;2
25/05/22;10:30;9.6800000;9.6800000;9.4700000;9.4700000;15
25/05/22;10:45;9.5000000;9.5000000;9.5000000;9.5000000;2
25/05/22;11:40;9.4500000;9.4500000;9.4500000;9.4500000;40
25/05/22;11:45;9.4500000;9.4500000;9.4500000;9.4500000;20
25/05/22;11:50;9.4500000;9.4500000;9.4500000;9.4500000;1
25/05/22;12:10;9.4500000;9.4500000;9.4500000;9.4500000;5
25/05/22;12:15;9.5000000;9.6900000;9.5000000;9.6900000;10
25/05/22;12:40;9.4500000;9.4500000;9.4500000;9.4500000;1
25/05/22;12:55;9.4200000;9.4200000;9.4100000;9.4100000;6
25/05/22;13:05;9.4500000;9.4500000;9.4500000;9.4500000;10
25/05/22;14:20;9.6700000;9.6700000;9.6700000;9.6700000;2
25/05/22;14:50;9.6800000;9.6800000;9.6800000;9.6800000;3
25/05/22;15:05;9.6800000;9.6800000;9.6800000;9.6800000;5
25/05/22;15:35;9.6400000;9.6400000;9.6400000;9.6400000;3
25/05/22;15:40;9.6900000;9.7000000;9.6900000;9.7000000;6
25/05/22;15:45;9.7000000;9.7000000;9.7000000;9.7000000;1
25/05/22;15:50;9.7000000;9.7000000;9.7000000;9.7000000;1
25/05/22;16:25;9.9100000;9.9100000;9.9100000;9.9100000;1
25/05/22;16:35;9.8200000;9.8200000;9.8100000;9.8100000;2
25/05/22;18:30;9.8900000;9.9300000;9.8900000;9.9300000;12
25/05/22;18:45;9.9500000;9.9500000;9.9500000;9.9500000;2
26/05/22;10:05;9.2000000;10.5000000;9.2000000;10.1500000;11
26/05/22;10:25;10.1500000;10.1500000;10.1500000;10.1500000;1
26/05/22;10:40;10.0600000;10.0600000;10.0600000;10.0600000;1
26/05/22;11:05;10.0500000;10.0500000;10.0500000;10.0500000;4
26/05/22;11:25;10.3200000;10.3200000;10.0500000;10.0500000;2
26/05/22;12:15;10.3000000;10.3000000;10.3000000;10.3000000;2
26/05/22;12:35;10.0600000;10.0600000;10.0600000;10.0600000;2
26/05/22;13:00;10.3100000;10.3100000;10.3100000;10.3100000;1
26/05/22;13:15;10.3100000;10.3100000;10.3100000;10.3100000;1
26/05/22;13:55;10.2000000;10.2000000;10.1700000;10.1700000;2
26/05/22;14:10;10.4700000;10.4700000;10.4700000;10.4700000;1
26/05/22;14:20;10.4600000;10.4600000;10.4600000;10.4600000;1
26/05/22;14:45;10.4600000;10.4600000;10.4600000;10.4600000;2
26/05/22;15:55;10.4500000;10.4500000;10.4500000;10.4500000;1
26/05/22;16:00;10.4600000;10.4600000;10.4600000;10.4600000;1
26/05/22;16:15;10.2600000;10.2600000;10.2600000;10.2600000;1
26/05/22;17:00;10.4600000;10.4600000;10.4600000;10.4600000;1
26/05/22;17:05;10.5000000;10.5000000;10.5000000;10.5000000;3
26/05/22;17:15;10.5500000;10.5500000;10.5000000;10.5000000;3
26/05/22;17:30;10.4100000;10.7000000;10.4100000;10.7000000;2
26/05/22;17:35;10.5000000;10.5000000;10.4000000;10.4000000;4
26/05/22;17:45;10.3600000;10.3600000;10.2500000;10.2500000;5
26/05/22;17:50;10.2800000;10.2800000;10.2800000;10.2800000;6
26/05/22;18:05;10.4500000;10.4500000;10.4500000;10.4500000;1
26/05/22;18:25;10.6900000;10.6900000;10.6900000;10.6900000;1
27/05/22;10:55;10.6100000;10.6100000;10.6100000;10.6100000;3
27/05/22;11:00;10.6100000;10.6100000;10.6100000;10.6100000;1
27/05/22;11:05;10.6300000;10.7300000;10.6300000;10.7300000;2
27/05/22;11:10;10.9100000;10.9100000;10.9100000;10.9100000;1
27/05/22;11:15;10.8500000;10.8500000;10.8300000;10.8300000;3
27/05/22;11:20;10.8500000;10.8500000;10.8400000;10.8400000;4
27/05/22;11:25;10.8500000;10.8500000;10.8500000;10.8500000;1
27/05/22;11:30;10.8900000;10.8900000;10.8900000;10.8900000;6
27/05/22;12:00;10.8000000;10.8000000;10.8000000;10.8000000;1
27/05/22;12:15;10.8000000;10.8000000;10.8000000;10.8000000;1
27/05/22;12:50;10.7700000;10.7700000;10.7700000;10.7700000;1
27/05/22;12:55;10.7900000;10.7900000;10.7900000;10.7900000;5
27/05/22;13:20;10.6700000;10.6700000;10.6700000;10.6700000;1
27/05/22;13:45;10.6600000;10.6600000;10.6600000;10.6600000;1
27/05/22;14:10;10.7500000;10.7500000;10.6800000;10.6800000;11
27/05/22;14:15;10.5700000;10.5700000;10.5700000;10.5700000;1
27/05/22;15:05;10.6900000;10.6900000;10.6900000;10.6900000;4
27/05/22;15:10;10.6400000;10.6400000;10.6400000;10.6400000;2
27/05/22;15:25;10.5700000;10.5700000;10.5700000;10.5700000;1
27/05/22;15:35;10.5700000;10.5700000;10.5700000;10.5700000;1
27/05/22;16:55;10.7400000;10.7400000;10.7400000;10.7400000;4
27/05/22;17:20;10.8000000;10.8000000;10.8000000;10.8000000;5
27/05/22;17:45;10.8000000;10.8000000;10.8000000;10.8000000;1
27/05/22;18:20;10.8000000;10.8000000;10.8000000;10.8000000;2
27/05/22;18:25;10.8000000;10.8000000;10.8000000;10.8000000;32
27/05/22;18:35;10.7200000;10.7200000;10.7100000;10.7100000;2
27/05/22;18:40;10.7100000;10.7100000;10.7100000;10.7100000;1
30/05/22;10:10;10.9000000;11.1900000;10.8900000;11.1900000;36
30/05/22;10:15;10.9300000;10.9300000;10.9300000;10.9300000;1
30/05/22;10:20;10.9200000;10.9200000;10.9200000;10.9200000;9
30/05/22;10:25;10.6900000;10.6900000;10.6900000;10.6900000;1
30/05/22;10:35;10.9000000;10.9000000;10.9000000;10.9000000;1
30/05/22;10:55;10.5300000;10.5300000;10.5200000;10.5200000;2
30/05/22;11:10;10.5200000;10.5200000;10.4600000;10.4600000;70
30/05/22;11:30;10.7000000;10.7000000;10.7000000;10.7000000;1
30/05/22;11:35;10.7000000;10.7500000;10.7000000;10.7500000;6
30/05/22;11:40;10.7500000;10.7500000;10.7500000;10.7500000;8
30/05/22;11:45;10.4500000;10.4500000;10.4500000;10.4500000;8
30/05/22;11:50;10.4500000;10.4800000;10.4500000;10.4800000;53
30/05/22;12:10;10.6500000;10.7500000;10.6500000;10.7500000;8
30/05/22;12:20;10.4700000;10.4700000;10.4700000;10.4700000;1
30/05/22;12:45;10.4200000;10.4200000;10.4100000;10.4100000;9
30/05/22;13:40;10.4500000;10.4500000;10.4500000;10.4500000;5
30/05/22;13:55;10.3500000;10.3500000;10.3000000;10.3000000;18
30/05/22;14:10;10.2300000;10.2300000;10.2200000;10.2200000;5
30/05/22;14:20;10.4100000;10.4600000;10.4100000;10.4600000;3
30/05/22;15:25;10.4000000;10.4900000;10.4000000;10.4900000;6
30/05/22;16:25;10.3900000;10.3900000;10.3900000;10.3900000;3
30/05/22;16:30;10.3900000;10.3900000;10.3900000;10.3900000;4
30/05/22;16:55;10.3300000;10.3300000;10.3300000;10.3300000;1
30/05/22;17:05;10.3300000;10.3300000;10.3300000;10.3300000;1
30/05/22;17:30;10.3200000;10.3200000;10.3200000;10.3200000;1
31/05/22;10:10;10.2100000;10.2100000;10.2100000;10.2100000;1
31/05/22;10:20;10.2100000;10.2100000;10.2100000;10.2100000;5
31/05/22;10:25;10.3200000;10.3200000;10.3200000;10.3200000;1
31/05/22;10:30;10.3200000;10.3400000;10.3200000;10.3400000;6
31/05/22;10:45;10.4100000;10.4100000;10.4100000;10.4100000;4
31/05/22;10:50;10.4100000;10.4100000;10.4100000;10.4100000;1
31/05/22;11:00;10.4000000;10.4000000;10.4000000;10.4000000;1
31/05/22;12:15;10.4000000;10.4000000;10.4000000;10.4000000;1
31/05/22;13:45;10.1900000;10.1900000;10.1800000;10.1800000;3
31/05/22;14:25;10.2000000;10.2000000;10.2000000;10.2000000;2
31/05/22;15:10;10.2800000;10.2800000;10.2800000;10.2800000;1
31/05/22;15:15;10.2900000;10.2900000;10.2900000;10.2900000;7
31/05/22;16:00;10.2900000;10.2900000;10.2900000;10.2900000;7
31/05/22;16:05;10.2900000;10.2900000;10.2900000;10.2900000;1
31/05/22;16:15;10.2900000;10.2900000;10.2900000;10.2900000;3
31/05/22;16:20;10.2900000;10.2900000;10.2900000;10.2900000;3
31/05/22;17:15;10.2400000;10.2400000;10.2300000;10.2300000;25
31/05/22;18:05;10.2700000;10.2700000;10.2700000;10.2700000;1
31/05/22;18:20;10.2700000;10.2700000;10.2700000;10.2700000;1
31/05/22;18:25;10.2700000;10.2700000;10.2500000;10.2500000;8
01/06/22;10:10;10.1300000;10.1300000;10.1300000;10.1300000;3
01/06/22;10:30;10.2500000;10.2500000;10.2500000;10.2500000;1
01/06/22;11:00;10.3000000;10.3000000;10.3000000;10.3000000;1
01/06/22;11:05;10.1800000;10.1800000;10.1700000;10.1700000;2
01/06/22;11:40;10.1600000;10.1600000;10.1600000;10.1600000;3
01/06/22;14:10;10.1900000;10.1900000;10.1900000;10.1900000;3
01/06/22;14:35;10.1100000;10.1100000;10.1000000;10.1000000;2
01/06/22;15:10;10.1900000;10.1900000;10.1900000;10.1900000;1
01/06/22;15:20;10.1900000;10.2000000;10.1900000;10.2000000;3
01/06/22;17:10;10.1000000;10.1000000;10.1000000;10.1000000;13
01/06/22;17:15;10.0900000;10.0900000;10.0900000;10.0900000;1
01/06/22;18:00;10.1000000;10.1100000;10.0900000;10.1100000;8
01/06/22;18:15;10.0900000;10.1200000;10.0900000;10.0900000;10
02/06/22;10:20;10.0900000;10.0900000;10.0900000;10.0900000;1
02/06/22;10:30;10.0500000;10.0500000;10.0500000;10.0500000;8
02/06/22;10:40;10.1000000;10.1100000;10.1000000;10.1100000;4
02/06/22;10:45;10.2200000;10.2200000;10.2200000;10.2200000;1
02/06/22;11:20;10.1800000;10.1900000;10.1800000;10.1900000;4
02/06/22;11:25;10.0800000;10.0800000;10.0700000;10.0700000;20
02/06/22;12:25;10.0600000;10.0600000;10.0600000;10.0600000;1
02/06/22;14:30;10.1300000;10.1300000;10.1300000;10.1300000;1
02/06/22;14:50;10.1300000;10.1300000;10.1300000;10.1300000;1
02/06/22;15:25;10.1000000;10.1000000;10.1000000;10.1000000;2
02/06/22;17:25;10.1100000;10.1100000;10.1100000;10.1100000;1
02/06/22;18:40;10.1000000;10.1000000;10.1000000;10.1000000;5
03/06/22;10:15;10.2400000;10.2400000;10.0600000;10.0600000;6
03/06/22;10:40;10.2000000;10.2000000;10.1800000;10.1800000;3
03/06/22;11:05;10.2400000;10.2400000;10.2400000;10.2400000;1
03/06/22;11:20;10.2000000;10.2400000;10.2000000;10.2400000;2
